eegRawValue,attention,meditation,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent
53,3,69,102848,14364,5181,5701,1113,424,729,1101,Tag2
44,17,66,16769180,16755503,5466,11836,13014,24910,18246,4389,Tag2
17,37,63,6124,13395,15483,11909,10123,16748527,16817,5018,Tag2
5,57,74,3281,4065,11995,9557,9695,8512,16106,4220,Tag2
16,93,66,2848,9052,2285,5616,5830,13062,11894,7731,Tag2
33,91,77,7513,9259,14094,5202,12464,10117,5695,1667,Tag2
52,80,83,3924,6051,6429,10644,6057,6752,14294,4850,Tag2
50,81,66,2722,18469,1863,3557,5496,8350,8287,4780,Tag2
51,69,83,2153,3554,4321,18599,5003,6164,6450,5749,Tag2
-274,70,66,2364,18212,1443,3333,7618,11557,11708,2692,Tag2
57,87,56,2391,4846,2303,7193,6204,18346,11145,3231,Tag2
8,84,78,7486,2686,7456,17869,5198,8631,8612,4301,Tag2
34,94,67,10605,4587,2804,11605,7733,10445,3187,6309,Tag2
-293,91,81,8535,10577,4587,4795,4737,7196,6423,756,Tag2
72,69,100,4980,7842,16744520,22491,4742,9699,5932,3394,Tag2
57,69,81,4476,9795,4530,4017,14663,6337,6192,1240,Tag2
4,64,69,2085,16297,3623,2691,6152,7204,4366,5685,Tag2
24,78,66,11440,1961,4730,3801,6880,17847,9038,9699,Tag2
45,88,50,8197,11098,9054,5195,6669,10257,8134,2816,Tag2
20,83,61,4986,6825,16590,12128,20094,8257,9119,6028,Tag2
27,81,77,9790,8986,16714,6064,6042,9206,9425,4885,Tag2
70,64,81,4500,12281,7694,5232,4207,7359,5040,12588,Tag2
74,61,80,15086,18223,2995,9940,5180,9968,9146,9676,Tag2
36,64,74,2596,6095,2470,8065,7317,6645,5002,7146,Tag2
97,47,78,71607,71994,16753415,82904,5297,9224,7209,5346,Tag2
42,35,88,192101,16755725,16766968,16746395,8838,13052,11176,15234,Tag2
41,35,94,1693,8646,5548,24698,19954,11459,10512,6247,Tag2
52,41,97,3511,2034,1218,15029,9444,14027,16034,7029,Tag2
-264,61,88,14473,7058,11232,6135,10730,9074,6080,6868,Tag2
22,77,88,5485,3750,5057,16272,3357,11032,16622,1471,Tag2
39,87,70,2296,4814,1949,859,6706,6562,6182,1912,Tag2
32,78,67,9479,7220,4756,4039,6964,5559,4858,3038,Tag2
27,83,64,9944,8835,11301,3556,9052,13014,11156,4107,Tag2
-267,84,56,6020,6097,5054,4838,5974,8689,5844,5243,Tag2
52,81,66,4240,12334,152,13815,4758,15701,4710,4562,Tag2
-265,84,66,4709,6825,8381,1934,5396,8712,14873,1994,Tag2
49,74,54,1543922,200002,9539,28179,14950,16752135,8787,8314,Tag2
-257,70,50,8430,9828,3182,5108,13522,7462,6628,4971,Tag2
-266,81,44,14266,2962,5186,5065,4365,31670,10456,7853,Tag2
-280,75,51,11426,12325,11445,10889,3022,10783,9696,6074,Tag2
55,83,67,671,4255,2136,12281,3877,8811,12674,3412,Tag2
-266,81,77,6948,3010,11946,6185,14551,8976,11276,6855,Tag2
26,66,91,7937,2497,7921,16548,5210,14122,10251,4517,Tag2
-167,63,90,16749615,69346,30100,16754589,4603,28222,9583,691,Tag2
-112,40,78,522640,16766162,9543,7290,4106,2565,443,723,Tag2
18,50,75,3773,2181,5994,14857,15325,27180,23072,3855,Tag2
49,47,75,1928,6972,17003,11132,5420,12453,8615,6249,Tag2
22,48,74,4198,14520,12099,9015,7023,9772,5026,2750,Tag2
32,63,88,8174,6863,2654,20104,6969,5364,14423,7345,Tag2
18,60,83,2566,5269,2240,8811,19484,14490,10719,4762,Tag2
67,63,78,7621,5723,8071,5207,6011,9429,7130,4141,Tag2
55,78,69,490,4130,6995,3440,11253,21965,3739,10598,Tag2
48,91,67,8630,2550,1565,17164,1777,13715,9745,7620,Tag2
2,83,77,9044,13288,7668,13247,3305,13179,9680,2768,Tag2
25,77,70,1497,10307,3964,7802,10744,5944,7506,2979,Tag2
101,69,70,4187,7470,4027,7980,22065,11956,9244,2183,Tag2
51,60,67,2489,17694,9971,14115,3423,10568,14046,10601,Tag2
53,53,67,2853,16315,2559,22367,12511,6715,8239,6901,Tag2
52,63,67,9855,8273,5759,11688,11402,17718,13943,4402,Tag2
